timestamp,value,is_anomaly
1748703960,4.13,0
1748704080,2.66,0
1748704200,3.82,0
1748704320,2.22,0
1748704440,2.75,0
1748704560,2.38,0
1748704680,2.29,0
1748704800,2.1,0
1748704920,2.69,0
1748705040,2.95,0
1748705160,3.07,0
1748705280,3.67,0
1748705400,3.19,0
1748705520,3.64,0
1748705640,3.3,0
1748705760,3.29,0
1748705880,3.18,0
1748706000,3.06,0
1748706120,3.13,0
1748706240,3.07,0
1748706360,3.28,0
1748706480,2.89,0
1748706600,3.09,0
1748706720,2.96,0
1748706840,3.16,0
1748706960,3.27,0
1748707080,3.48,0
1748707200,3.24,0
1748707320,3.29,0
1748707440,3.19,0
1748707560,3.76,0
1748707680,3.47,0
1748707800,3.03,0
1748707920,3.11,0
1748708040,2.53,0
1748708160,2.43,0
1748708280,2.4,0
1748708400,2.49,0
1748708520,2.48,0
1748708640,2.3,0
1748708760,2.31,0
1748708880,2.43,0
1748709000,6.92,0
1748709120,6.48,0
1748709240,6.52,0
1748709360,6.84,0
1748709480,4.22,0
1748709600,4.45,0
1748709720,3.99,0
1748709840,2.29,0
1748709960,2.31,0
1748710080,2.49,0
1748710200,2.26,0
1748710320,2.29,0
1748710440,2.27,0
1748710560,2.37,0
1748710680,7.04,0
1748710800,7.26,0
1748710920,7.1,0
1748711040,7.53,0
1748711160,7.47,0
1748711280,2.64,0
1748711400,2.47,0
1748711520,2.47,0
1748711640,2.45,0
1748711760,2.49,0
1748711880,6.67,0
1748712000,7.32,0
1748712120,7.4,0
1748712240,7.78,0
1748712360,2.44,0
1748712480,2.28,0
1748712600,2.22,0
1748712720,2.6,0
1748712840,2.38,0
1748712960,7.87,0
1748713080,7.78,0
1748713200,7.95,0
1748713320,4.49,0
1748713440,2.28,0
1748713560,2.26,0
1748713680,2.38,0
1748713800,2.23,0
1748713920,2.24,0
1748714040,7.36,0
1748714160,8.05,0
1748714280,8.09,0
1748714400,8.11,0
1748714520,2.16,0
1748714640,2.45,0
1748714760,2.42,0
1748714880,2.22,0
1748715000,8.08,0
1748715120,8.13,0
1748715240,8.13,0
1748715360,8.17,0
1748715480,2.36,0
1748715600,2.43,0
1748715720,2.28,0
1748715840,2.35,0
1748715960,8.66,0
1748716080,8.46,0
1748716200,8.68,0
1748716320,8.32,0
1748716440,2.31,0
1748716560,2.21,0
1748716680,2.21,0
1748716800,2.39,0
1748716920,8.52,0
1748717040,9.15,0
1748717160,8.61,0
1748717280,2.38,0
1748717400,2.21,0
1748717520,2.35,0
1748717640,2.38,0
1748717760,8.77,0
1748717880,8.75,0
1748718000,8.6,0
1748718120,8.81,0
1748718240,2.5,0
1748718360,2.27,0
1748718480,2.16,0
1748718600,9.22,0
1748718720,9.32,0
1748718840,9.25,0
1748718960,9.38,0
1748719080,2.75,0
1748719200,2.35,0
1748719320,2.26,0
1748719440,9.48,0
1748719560,9.4,0
1748719680,9.61,0
1748719800,9.41,0
1748719920,2.45,0
1748720040,2.23,0
1748720160,2.16,0
1748720280,9.45,0
1748720400,9.62,0
1748720520,9.68,0
1748720640,2.7,0
1748720760,2.42,0
1748720880,2.32,0
1748721000,2.37,0
1748721120,9.65,0
1748721240,9.72,0
1748721360,9.87,0
1748721480,2.38,0
1748721600,2.26,0
1748721720,2.16,0
1748721840,9.91,0
1748721960,9.92,0
1748722080,5.9,0
1748722200,2.59,0
1748722320,2.29,0
1748722440,2.17,0
1748722560,9.88,0
1748722680,9.96,0
1748722800,11.0,0
1748722920,2.29,0
1748723040,2.12,0
1748723160,2.25,0
1748723280,10.3,0
1748723400,10.1,0
1748723520,6.09,0
1748723640,2.22,0
1748723760,2.68,0
1748723880,2.23,0
1748724000,10.0,0
1748724120,10.5,0
1748724240,5.8,0
1748724360,2.2,0
1748724480,2.32,0
1748724600,2.25,0
1748724720,10.6,0
1748724840,10.2,0
1748724960,10.5,0
1748725080,2.81,0
1748725200,2.2,0
1748725320,10.8,0
1748725440,10.5,0
1748725560,10.7,0
1748725680,2.24,0
1748725800,2.15,0
1748725920,2.26,0
1748726040,10.8,0
1748726160,11.0,0
1748726280,11.6,0
1748726400,2.39,0
1748726520,2.35,0
1748726640,11.4,0
1748726760,11.2,0
1748726880,6.43,0
1748727000,2.24,0
1748727120,2.11,0
1748727240,2.18,0
1748727360,11.0,0
1748727480,10.8,0
1748727600,2.36,0
1748727720,2.25,0
1748727840,2.29,0
1748727960,11.6,0
1748728080,10.9,0
1748728200,2.2,0
1748728320,2.33,0
1748728440,2.29,0
1748728560,11.1,0
1748728680,11.5,0
1748728800,11.7,0
1748728920,2.37,0
1748729040,2.19,0
1748729160,11.6,0
1748729280,12.0,0
1748729400,11.7,0
1748729520,2.32,0
1748729640,2.26,0
1748729760,11.7,0
1748729880,11.6,0
1748730000,11.5,0
1748730120,2.29,0
1748730240,2.2,0
1748730360,11.8,0
1748730480,11.9,0
1748730600,6.77,0
1748730720,2.48,0
1748730840,2.23,0
1748730960,11.9,0
1748731080,12.1,0
1748731200,2.24,0
1748731320,2.19,0
1748731440,2.5,0
1748731560,11.9,0
1748731680,12.2,0
1748731800,2.32,0
1748731920,2.23,0
1748732040,12.2,0
1748732160,12.8,0
1748732280,12.5,0
1748732400,2.32,0
1748732520,2.29,0
1748732640,12.3,0
1748732760,12.0,0
1748732880,2.21,0
1748733000,2.19,0
1748733120,2.38,0
1748733240,12.2,0
1748733360,12.3,0
1748733480,2.25,0
1748733600,2.4,0
1748733720,12.4,0
1748733840,12.6,0
1748733960,2.19,0
1748734080,2.38,0
1748734200,2.85,0
1748734320,12.5,0
1748734440,12.6,0
1748734560,2.38,0
1748734680,2.27,0
1748734800,12.5,0
1748734920,13.3,0
1748735040,2.3,0
1748735160,2.63,0
1748735280,2.24,0
1748735400,12.7,0
1748735520,13.3,0
1748735640,2.36,0
1748735760,2.45,0
1748735880,12.6,0
1748736000,12.7,0
1748736120,2.6,0
1748736240,2.32,0
1748736360,12.8,0
1748736480,13.4,0
1748736600,2.21,0
1748736720,2.49,0
1748736840,13.2,0
1748736960,12.9,0
1748737080,2.43,0
1748737200,2.14,0
1748737320,2.23,0
1748737440,13.4,0
1748737560,13.6,0
1748737680,2.38,0
1748737800,2.35,0
1748737920,14.0,0
1748738040,13.8,0
1748738160,2.16,0
1748738280,2.29,0
1748738400,12.9,0
1748738520,13.1,0
1748738640,2.24,0
1748738760,2.25,0
1748738880,13.5,0
1748739000,13.4,0
1748739120,2.32,0
1748739240,2.21,0
1748739360,13.7,0
1748739480,13.7,0
1748739600,2.38,0
1748739720,2.26,0
1748739840,13.6,0
1748739960,13.9,0
1748740080,2.12,0
1748740200,2.29,0
1748740320,13.5,0
1748740440,7.18,0
1748740560,2.15,0
1748740680,2.2,0
1748740800,13.5,0
1748740920,14.0,0
1748741040,2.07,0
1748741160,2.19,0
1748741280,13.6,0
1748741400,14.0,0
1748741520,2.21,0
1748741640,2.38,0
1748741760,14.2,0
1748741880,14.3,0
1748742000,2.22,0
1748742120,2.25,0
1748742240,14.0,0
1748742360,13.7,0
1748742480,2.22,0
1748742600,2.41,0
1748742720,13.6,0
1748742840,13.9,0
1748742960,2.23,0
1748743080,2.17,0
1748743200,14.0,0
1748743320,14.3,0
1748743440,2.21,0
1748743560,2.31,0
1748743680,13.9,0
1748743800,14.4,0
1748743920,2.02,0
1748744040,2.14,0
1748744160,14.3,0
1748744280,7.39,0
1748744400,2.24,0
1748744520,2.2,0
1748744640,14.5,0
1748744760,2.2,0
1748744880,2.19,0
1748745000,14.0,0
1748745120,13.9,0
1748745240,2.1,0
1748745360,2.23,0
1748745480,14.5,0
1748745600,7.45,0
1748745720,2.26,0
1748745840,2.36,0
1748745960,14.4,0
1748746080,14.5,0
1748746200,2.41,0
1748746320,2.27,0
1748746440,14.3,0
1748746560,2.25,0
1748746680,2.28,0
1748746800,14.8,0
1748746920,14.8,0
1748747040,2.64,0
1748747160,2.27,0
1748747280,14.2,0
1748747400,14.4,0
1748747520,2.04,0
1748747640,2.82,0
1748747760,14.7,0
1748747880,15.1,0
1748748000,2.6,0
1748748120,14.6,0
1748748240,15.2,0
1748748360,2.41,0
1748748480,2.03,0
1748748600,14.9,0
1748748720,14.7,0
1748748840,2.36,0
1748748960,2.68,0
1748749080,17.1,0
1748749200,3.95,0
1748749320,2.21,0
1748749440,7.48,0
1748749560,7.73,0
1748749680,2.18,0
1748749800,2.37,1
1748749920,7.7,1
1748750040,7.33,1
1748750160,2.15,1
1748750280,7.55,1
1748750400,7.62,1
1748750520,2.27,1
1748750640,10.7,1
1748750760,7.64,1
1748750880,7.66,1
1748751000,10.7,1
1748751120,10.6,1
1748751240,7.78,1
1748751360,10.7,1
1748751480,10.7,1
1748751600,7.71,0
1748751720,7.56,0
1748751840,10.4,0
1748751960,10.4,0
1748752080,7.86,0
1748752200,10.7,0
1748752320,10.7,0
1748752440,7.53,0
1748752560,8.26,0
1748752680,10.5,0
1748752800,11.0,0
1748752920,7.76,0
1748753040,10.9,0
1748753160,10.9,0
1748753280,7.7,0
1748753400,7.17,0
1748753520,10.9,0
1748753640,7.69,0
1748753760,7.56,0
1748753880,10.8,0
1748754000,11.0,0
1748754120,7.73,0
1748754240,7.75,0
1748754360,11.1,0
1748754480,7.7,0
1748754600,7.52,0
1748754720,10.9,0
1748754840,11.3,0
1748754960,7.97,0
1748755080,11.3,0
1748755200,11.2,0
1748755320,2.61,0
1748755440,2.51,0
1748755560,16.2,0
1748755680,2.29,0
1748755800,2.57,0
1748755920,16.0,0
1748756040,2.37,0
1748756160,2.57,0
1748756280,15.9,0
1748756400,16.1,0
1748756520,3.46,0
1748756640,16.0,0
1748756760,15.6,0
1748756880,2.1,0
1748757000,2.28,0
1748757120,16.7,0
1748757240,2.95,0
1748757360,2.62,0
1748757480,17.0,0
1748757600,2.5,0
1748757720,2.37,0
1748757840,16.8,0
1748757960,17.1,0
1748758080,2.24,0
1748758200,16.6,0
1748758320,16.3,0
1748758440,2.2,0
1748758560,2.28,0
1748758680,16.6,0
1748758800,2.22,0
1748758920,2.22,0
1748759040,17.0,0
1748759160,2.28,0
1748759280,2.31,0
1748759400,17.5,0
1748759520,2.22,0
1748759640,2.43,1
1748759760,26.6,1
1748759880,8.53,1
1748760000,2.68,1
1748760120,24.6,1
1748760240,4.52,0
1748760360,4.1,0
1748760480,17.7,0
1748760600,2.57,0
1748760720,2.64,0
1748760840,18.3,0
1748760960,2.75,0
1748761080,2.52,0
1748761200,18.0,0
1748761320,2.69,0
1748761440,2.56,0
1748761560,17.3,0
1748761680,2.93,0
1748761800,2.5,0
1748761920,17.2,1
1748762040,11.6,1
1748762160,20.8,1
1748762280,17.6,1
1748762400,2.56,1
1748762520,2.48,0
1748762640,17.6,0
1748762760,18.4,0
1748762880,2.55,0
1748763000,18.0,0
1748763120,18.0,0
1748763240,2.48,0
1748763360,18.1,0
1748763480,2.59,0
1748763600,2.56,0
1748763720,17.6,0
1748763840,2.41,0
1748763960,3.1,0
1748764080,18.8,0
1748764200,2.48,0
1748764320,2.45,0
1748764440,18.0,0
1748764560,2.66,0
1748764680,2.54,0
1748764800,17.9,0
1748764920,2.58,0
1748765040,2.52,0
1748765160,18.0,0
1748765280,2.9,0
1748765400,2.71,0
1748765520,18.0,0
1748765640,2.59,0
1748765760,2.66,0
1748765880,17.4,0
1748766000,16.1,1
1748766120,6.44,1
1748766240,18.2,1
1748766360,2.65,1
1748766480,18.2,1
1748766600,18.6,0
1748766720,2.69,0
1748766840,18.2,0
1748766960,18.3,0
1748767080,2.54,0
1748767200,18.3,0
